,1/31/11,4/30/11,7/31/11,10/31/11,1/31/12,4/30/12,7/31/12,10/31/12,1/31/13,4/30/13,7/31/13,10/31/13,1/31/14,4/30/14,7/31/14,10/31/14,1/31/15,4/30/15,7/31/15,10/31/15,1/31/16,4/30/16,7/31/16,10/31/16,1/31/17,4/30/17
DeferredTaxAssetsNetNoncurrent,202902000,187518000,185020000,171986000,271156000,269818000,276451000,269546000,306385000,305294000,309823000,315398000,278390000,260144000,246156000,246643000,323449000,323600000,334300000,338500000,382800000,369800000,367000000,370200000,301800000,296900000
DeferredTaxAssetsOperatingLossCarryforwards,,,,,,,,,,,,,27806000,,,,22911000,,,,23500000,,,,25500000,
DeferredTaxAssetsOther,,,,,45921000,,,,25115000,,,,37052000,,,,37018000,,,,53600000,,,,23000000,
DeferredTaxAssetsPropertyPlantAndEquipment,,,,,,,,,49159000,,,,52530000,,,,14406000,,,,6600000,,,,6500000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,,,,,123721000,,,,131974000,,,,106585000,,,,203045000,,,,166700000,,,,124700000,
DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,,,,,24312000,,,,25252000,,,,22719000,,,,17280000,,,,18300000,,,,17300000,
DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,,,,,30219000,,,,28637000,,,,38141000,,,,36441000,,,,34300000,,,,36100000,
DeferredTaxAssetsValuationAllowance,,,,,13570000,,,,14181000,,,,17693000,,,,16232000,,,,19500000,,,,24100000,
DeferredTaxLiabilities,,,,,38294000,,,,,,,,,,,,,,,,,,,,,
DeferredTaxLiabilitiesUndistributedForeignEarnings,,,,,71000000,,,,87000000,,,,98000000,,,,107000000,,,,118000000,,,,129000000,
DefinedBenefitPlanFairValueOfPlanAssets,,,,,266734000,,,,331181000,,,,397430000,,,,406045000,,,,385800000,,,,530100000,
DividendsPayableAmountPerShare,,,,,0.29,0.32,0.32,0.32,,0.32,,,0.34,,,,0.38,,,,,,,,,
EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,,,,,66836000,,,,63547000,,,,70164000,,,,69092000,,,,65600000,,,,69200000,
FiniteLivedIntangibleAssetsAccumulatedAmortization,,,,,8253000,,,,10185000,,,,13579000,,,,21081000,,,,15000000,,,,17600000,
FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,,,,,,,,,4374000,,,,4200000,,,,3500000,,,,3500000,,,,3400000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,,,,,,,,,4195000,,,,4200000,,,,3500000,,,,3500000,,,,3400000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,,,,,,,,,4207000,,,,4200000,,,,3500000,,,,3500000,,,,3400000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,,,,,,,,,4248000,,,,4200000,,,,3500000,,,,3500000,,,,3400000,
FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,,,,,,,,,4374000,,,,4200000,,,,3500000,,,,3500000,,,,3400000,
FiniteLivedIntangibleAssetsGross,,,,,,,,,,,,,101449000,,,,95601000,,,,84800000,,,,83300000,
FiniteLivedIntangibleAssetsNet,,,,,7549000,,,,,,,,,,,,,,,,,,,,,
FurnitureAndFixturesGross,,,,,211043000,,,,224750000,,,,246751000,,,,261076000,,,,265300000,,,,281200000,
Goodwill,,,,,14956000,,,,39764000,,,,39736000,,,,38836000,,,,38500000,,,,38400000,
InventoryFinishedGoodsNetOfReserves,,,1035615000,1173673000,1145680000,1200493000,1267705000,1377518000,1291235000,1341369000,1370966000,1440114000,1333926000,1365299000,1453175000,1533342000,1386823000,1396500000,1347800000,1375600000,1292900000,1361900000,1362000000,1389400000,1249400000,1269800000
InventoryNet,1625302000,1720895000,1836874000,2065466000,2073212000,2189869000,2230474000,2289571000,2234334000,2280390000,2328510000,2418710000,2326580000,2418395000,2531451000,2560369000,2362112000,2363000000,2357700000,2347000000,2225000000,2320100000,2324800000,2303100000,2157600000,2197400000
InventoryRawMaterialsNetOfReserves,,,656772000,737686000,784040000,823815000,771834000,745334000,790732000,812530000,843380000,860507000,874799000,920982000,933311000,888104000,866934000,872800000,896900000,859100000,813700000,847300000,843500000,814000000,806300000,831700000
InventoryWorkInProcessNetOfReserves,,,144487000,154107000,143492000,165561000,190935000,166719000,152367000,126491000,114164000,118089000,117855000,132114000,144965000,138923000,108355000,93700000,113000000,112300000,118400000,110900000,119300000,99700000,101900000,95900000
Land,,,,,42735000,,,,42707000,,,,42710000,,,,42666000,,,,45600000,,,,41800000,
Liabilities,,,,,,,1915947000,1982774000,2019532000,2001310000,1996422000,2057547000,2018383000,1964925000,1991397000,2088299000,2329932000,2263700000,2285800000,2294800000,2200200000,2188900000,2174200000,2214000000,2069200000,2031500000
LiabilitiesAndStockholdersEquity,3735669000,3758132000,3930888000,3898284000,4158992000,4206669000,4324746000,4449995000,4630850000,4665756000,4731718000,4879501000,4752351000,4825514000,4935825000,4996989000,5180603000,5150000000,5180500000,5165800000,5129700000,5148200000,5102900000,5139100000,5097600000,5106200000
LiabilitiesCurrent,479913000,396279000,520752000,521908000,626677000,682363000,504758000,564422000,586592000,597884000,588874000,644114000,696740000,640718000,670098000,634536000,658033000,585300000,619400000,708500000,729900000,717800000,697600000,635700000,632800000,582500000
LiabilitiesFairValueDisclosure,,,8438000,14334000,6926000,10926000,4405000,1980000,704000,4270000,4112000,1341000,1898000,1380000,467000,3679000,5254000,10000000,8800000,6200000,17200000,17300000,21400000,20400000,8900000,16100000
LineOfCreditFacilityMaximumBorrowingCapacity,,,,,,,550000000,550000000,550000000,,151676000,,,,,,750000000,,,,750000000,,,,750000000,
LoansReceivableBasisSpreadOnVariableRate,,,,,,,,,,,,,0.035,,,,0.035,0.035,0.035,0.035,,,,,,
LongTermDebt,,,,,599174000,,,,765238000,,,,751154000,,,889505000,882535000,,,880700000,882300000,,,,888000000,
LongTermDebtCurrent,60855000,0,61728000,61247000,60822000,60357000,,,,,,,,,,,,,,82600000,84200000,92500000,94800000,0,0,0
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,,,,,300000000,,,,425000000,,,,375000000,,,,800000000,,,,800000000,,,,888000000,
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,,,,,60822000,,,,,,,,0,,,,0,,,,84200000,,,,0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,,,,,131080000,,,,125000000,,,,50000000,,,,0,,,,0,,,,0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,,,,,107272000,,,,109640000,,,,125000000,,,,0,,,,0,,,,0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,,,,,0,,,,105598000,,,,97350000,,,,0,,,,0,,,,0,
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,,,,,0,,,,,,,,103804000,,,,84470000,,,,0,,,,0,
LongTermDebtNoncurrent,588494000,589255000,534673000,539703000,538352000,531244000,784409000,781637000,765238000,757191000,756807000,755724000,751154000,750826000,750070000,889505000,882535000,882100000,878600000,798100000,798100000,790200000,790500000,885700000,878400000,880500000
MachineryAndEquipmentGross,,,,,123407000,,,,135637000,,,,141880000,,,,155184000,,,,169200000,,,,177700000,
MinorityInterest,,,,,,,12309000,12498000,12586000,12765000,12996000,12738000,13531000,15274000,14049000,14418000,15612000,16200000,16700000,17600000,18100000,16400000,16500000,16500000,14900000,15200000
NoncurrentAssets,,,,,,,,,860256000,,,,896429000,,,,943744000,,,,984200000,,,,982000000,
NotesAndLoansReceivableGrossCurrent,,,,,,,,12426000,12979000,,,,,,,,,,,,,,,,,
NotesAndLoansReceivableGrossNoncurrent,,,57396000,57785000,58212000,59576000,58507000,46808000,53984000,,,,,,,,,,,,,,,,,
NotionalAmountOfForeignCurrencyCashFlowHedgeDerivatives,,,167900000,144600000,135100000,,,,,168198000,170968000,162035000,,,,,,,,,,,,,,
NotionalAmountOfForeignCurrencyDerivativeInstrumentsNotDesignatedAsHedgingInstruments,,,21596000,27178000,17469000,57107000,67648000,61276000,20759000,33199000,27247000,29193000,,,,,,,,,,,,,,
NotionalAmountOfInterestRateFairValueHedgeDerivatives,,,160000000,60000000,60000000,60000000,,,,,,,,,,,,,,,,,,,,
OperatingLeasesFutureMinimumPaymentsDueCurrent,,,,,181477000,,,,203479000,,,,215345000,,,,237091000,,,,273600000,,,,286200000,
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,,,,,109841000,,,,129074000,,,,115922000,,,,126178000,,,,141400000,,,,148700000,
OperatingLeasesFutureMinimumPaymentsDueInFourYears,,,,,130794000,,,,143782000,,,,138832000,,,,144048000,,,,156300000,,,,168800000,
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,,,,,153036000,,,,167690000,,,,156880000,,,,186463000,,,,172100000,,,,187200000,
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,,,,,166990000,,,,193040000,,,,186309000,,,,211881000,,,,244700000,,,,203600000,
OperatingLeasesFutureMinimumPaymentsDueThereafter,,,,,683360000,,,,694129000,,,,593784000,,,,556016000,,,,597700000,,,,558200000,
OtherAccruedLiabilitiesCurrent,,,,,,,,,,,,,115005000,,,,94292000,,,,101500000,,,,81200000,
OtherAssetsNoncurrent,182634000,194204000,240192000,229640000,230987000,236863000,266194000,297418000,354038000,368104000,367385000,365539000,390478000,383632000,381377000,351866000,346260000,349400000,334100000,330300000,302700000,310200000,314400000,307900000,290400000,294000000
OtherLiabilitiesNoncurrent,147372000,171226000,193256000,187635000,186802000,190514000,198176000,205720000,209732000,220003000,221692000,223684000,220512000,219491000,213869000,208547000,200675000,201300000,189400000,184500000,189000000,188100000,190800000,194600000,193500000,200800000
OtherLongTermDebtCurrent,,,,,,,,,,,,,,,,,,,,82600000,,,,,,
PensionAndOtherPostretirementDefinedBenefitPlansCurrentLiabilities,,,,,5178000,,,,4834000,,,,5051000,,,,4325000,,,,7100000,,,,7500000,
PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,217435000,198315000,205298000,212268000,338564000,309545000,316319000,322033000,361246000,336739000,342361000,348561000,268112000,273682000,279502000,284371000,524218000,532200000,538900000,545800000,428100000,436400000,442100000,448000000,318600000,322800000
PreferredStockParOrStatedValuePerShare,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
PreferredStockSharesAuthorized,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000
PreferredStockSharesIssued,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
PreferredStockSharesOutstanding,0,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
PreferredStockValue,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrepaidExpenseAndOtherAssetsCurrent,,122694000,115474000,117706000,107064000,127295000,130128000,180013000,158911000,176894000,182049000,178710000,244947000,236815000,225863000,284597000,220037000,207600000,202900000,204200000,190400000,190700000,215400000,205400000,203400000,204000000
PropertyPlantAndEquipmentGross,,,,,1758311000,,,,1921995000,,,,2098642000,,,,2267190000,,,,2354400000,,,,2455700000,
PropertyPlantAndEquipmentNet,665588000,685457000,738172000,752151000,767174000,766874000,777387000,800225000,818838000,807875000,814593000,836062000,855095000,848432000,857317000,888103000,899507000,897000000,898400000,912200000,935800000,946000000,944800000,951800000,931800000,920800000
RetainedEarningsAccumulatedDeficit,1324804000,1347691000,1378054000,1352852000,1462553000,1465464000,1509806000,1532358000,1671341000,1714170000,1778490000,1829591000,1682398000,1757653000,1824220000,1807966000,1950603000,1976200000,2008700000,1993600000,2012500000,1980700000,1967200000,1979000000,2078300000,2104600000
SaleLeasebackTransactionDeferredGainNet,124980000,124809000,125173000,124047000,119692000,114113000,112285000,108962000,96724000,89493000,86688000,85464000,81865000,80208000,77858000,71340000,64471000,62800000,59500000,57900000,55100000,56400000,53200000,50000000,45900000,44900000
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,,,,,2039131,,,,2055913,,,,1490688,,,,850767,,,,1100000,,,,1100000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,,,,,36.46,,,,38.93,,,,46.55,,,,56.02,,,,62.78,,,,66.42,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,,,,,34.05,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,,,,,63.24,,,,,,,,,,,,,,,,,,,,,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,,,,,68742000,,,,60402000,,,,65033000,,,,32288000,,,,7900000,,,,23800000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,,,,,3045299,,,,2972289,,,,2322145,,,,1692052,,,,2100000,,,,2300000,
ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,,,,,41.53,,,,45.68,,,,55.63,,,,68.76,,,,67.59,,,,70.72,
SharebasedCompensationArrangementBySharebasedPaymentAwardOptionsExercisableIntrinsicValue1,,,,,55868000,,,,55226000,,,,54304000,,,,26866000,,,,7300000,,,,17000000,
ShortTermBorrowings,38891000,97632000,97272000,107830000,112973000,242768000,155137000,196279000,194034000,216898000,207412000,252016000,252365000,240956000,275433000,196878000,234013000,197100000,196800000,198300000,221600000,220100000,207100000,219500000,228700000,190600000
ShortTermInvestments,59280000,17901000,32210000,18253000,8236000,21447000,1357000,1362000,,,,,21257000,21901000,192000,34112000,1500000,39600000,12900000,51900000,43000000,10300000,53800000,59200000,57800000,121200000
SignificantChangeInUnrecognizedTaxBenefitsIsReasonablyPossibleAmountOfUnrecordedBenefit,,,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,20000000,,,,,,,,,,,,
StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,,,,,,,,,,,,,,,,,,239900000,217200000,156700000,,,,,,
StockholdersEquity,2177475000,2278248000,2351736000,2312723000,2348905000,2378890000,2396490000,2454723000,2598732000,2651681000,2722300000,2809216000,2720437000,2845315000,2930379000,2894272000,2835059000,2870100000,2878000000,2853400000,2911400000,2942900000,2912200000,2908600000,3013500000,3059500000
StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,,,,,,,2408799000,2467221000,2611318000,2664446000,2735296000,2821954000,2733968000,2860589000,2944428000,2908690000,2850671000,2886300000,2894700000,2871000000,2929500000,2959300000,2928700000,2925100000,3028400000,3074700000
UndistributedEarningsOfForeignSubsidiaries,,,,,,,,,,,,,542000000,,,,612000000,,,,685000000,,,,769000000,
UnrecognizedTaxBenefits,,,,,25509000,,,,28217000,,,,27626000,,,,8333000,,,,10200000,,,,3400000,
UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,,,,,7228000,,,,7878000,,,,9752000,,,,6010000,,,,7800000,,,,8300000,
UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,,,,,12998000,,,,17564000,,,,18748000,,,,5251000,,,,9100000,,,,1000000,
UnsecuredDebt,,,,,,,,,,,,,,,,,,,,,,892500000,894800000,895400000,,
